Claims,Avg for A
0,3.428571429
0,3.428571429
0,3.428571429
0,3.428571429
0,3.428571429
0,3.428571429
1,3.357142857
1,3.357142857
1,3.357142857
1,3.357142857
2,3.285714286
2,3.285714286
3,3.214285714
3,3.214285714
3,3.214285714
4,3.142857143
4,3.142857143
4,3.142857143
4,3.142857143
4,3.142857143
4,3.142857143
4,3.142857143
5,3.071428571
5,3.071428571
5,3.071428571
5,3.071428571
5,3.071428571
5,3.071428571
6,3
6,3
6,3
6,3
6,3
6,3
7,2.928571429
7,2.928571429
7,2.928571429
7,2.928571429
8,2.857142857
8,2.857142857
10,2.714285714
